pghsusan, Mon Jun 08 00:02:17 +0000 2020, -83.216825, 42.548690, I mean I did not have this on my bingo card. But ok. 
ThatDudeShan, Mon Jun 08 00:02:20 +0000 2020, -121.469664, 38.561722, ✊🏾✊🏾✊🏾 
kelsey_evelyn92, Mon Jun 08 00:02:20 +0000 2020, -86.142922, 39.779562, BLACK LIVES MATTER https://t.co/5iCKE94MXZ 
melindawang, Mon Jun 08 00:02:27 +0000 2020, -73.968542, 40.780709, https://t.co/DRP60De2hs 
csturmphoto, Mon Jun 08 00:02:40 +0000 2020, -122.228685, 37.791994, This is haunting. Terrifying. To stand there and stare into the face of hate and not back down. This is what real b… https://t.co/TYkQNf3DrB 
Billified_, Mon Jun 08 00:02:43 +0000 2020, -118.130426, 33.937674, A white Mormon, from Utah, doing this. Hell has frozen over. 
ShoshanaKessock, Mon Jun 08 00:02:47 +0000 2020, -105.999107, 35.656551, Uh... huh. Weird timeline continues! 
jackmonell, Mon Jun 08 00:02:59 +0000 2020, -80.244984, 36.087169, Nice gesture now let’s see you propose some legislation to support it senator @MittRomney 
davspurs, Mon Jun 08 00:03:01 +0000 2020, -2.740722, 53.368393, @Dnannery @sorry42389663 The sad fact there's 2 marches Black lives Matter great cause and Looney Left pissed of Co… https://t.co/WWjzmy5WE8 
prismdjs, Mon Jun 08 00:03:10 +0000 2020, -118.243685, 34.052234, 💛 Don’t ease up! Please join us for a fundraiser in support of Black Lives Matter Foundation on Tuesday, June 9th f… https://t.co/HD0IdG87Pv 
myles_morris, Mon Jun 08 00:03:12 +0000 2020, -1.890640, 52.493966, LMAOOO imagine 
dinealonemusic, Mon Jun 08 00:03:20 +0000 2020, -79.272570, 43.629311, Members of @DboyIntl, @thedirtynil, #AttackInBlack &amp; Fuzz released a demo on @Bandcamp as Northern Primitive!All… https://t.co/GqPm9iiOc6 
erickallen, Mon Jun 08 00:03:22 +0000 2020, -83.173867, 32.678207, Yes...the future is bright. #NashvilleProtests #TogetherWeWill #BeLight 
thecjmatthews, Mon Jun 08 00:03:22 +0000 2020, -90.247824, 38.653771, https://t.co/cyJ1QRLyKD 
JamieDeLineNews, Mon Jun 08 00:03:24 +0000 2020, -73.687100, 42.727940, In Troy, there is a turtle out protesting. It is has a Black Lives Matter sign on it’s shell. 🐢@WTEN https://t.co/eiWXt9NXUZ 
WTFisCLB, Mon Jun 08 00:03:30 +0000 2020, -88.310447, 42.039940, Holy shit, Mitt Romney out here saying Black Lives Matter 
ChefChrisEllis, Mon Jun 08 00:03:34 +0000 2020, -73.769043, 41.577484, Are we this stupid? 
notSAUL, Mon Jun 08 00:03:35 +0000 2020, -95.446486, 29.838495, Lol. I opened the video before seeing the caption and I was like, I know this is El Paso! 
sedona_reilly, Mon Jun 08 00:03:39 +0000 2020, -79.250541, 40.424912, I hate republicans (unless their name is Mitt Romney) #BLM 
JoshNASCARWWE, Mon Jun 08 00:03:40 +0000 2020, -73.530092, 40.768141, .@RealKeithLee has “Black Lives Matter” on his trunks for tonight’s match against @JohnnyGargano. #BlackLivesMatter… https://t.co/H31dgQDa7h 
luxluc3t, Mon Jun 08 00:03:41 +0000 2020, -84.525403, 39.285679, This choke artist just needs to come clean and join the Democrats. 
Ingridebap, Mon Jun 08 00:03:49 +0000 2020, -73.948775, 40.655138, #BlackLivesMatter 
TreJan_, Mon Jun 08 00:03:49 +0000 2020, -92.061177, 30.206079, Simp marketing : 
Nancecy, Mon Jun 08 00:03:50 +0000 2020, -92.131274, 34.751936, Sen. Mitt Romney joins Black Lives Matter march in Washington, D.C. https://t.co/oBZj4stHTZ 
